id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,not_compliant,status,inactive_loans,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
1064687,1298717,9000,9000,9000, 36 months,13.49,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1064687,  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>,debt_consolidation,freedom,245xx,VA,10.08,0,20040401T000000,1,,,4,0,10452,91.7,9,f,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,20120701T000000,305.38,,20121101T000000,0,,1,0,Charged Off,1,1,1,4,0.2,1,1,1,1,12.2152,20141201T000000,1,1,1
1069866,1304956,3000,3000,3000, 36 months,9.91,96.68,B,B1,Target,3 years,RENT,15000,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069866,"  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>",credit_card,citicard fund,606xx,IL,12.56,0,20030701T000000,2,,,11,0,7323,43.1,11,f,0,0,3478.98,3478.98,3000,478.98,0,0,0,20150101T000000,102.43,,20150201T000000,0,,1,0,Fully Paid,1,0,4,5,0.2,1,1,1,0,7.7344,20141201T000000,1,1,1
1069057,1303503,10000,10000,10000, 36 months,10.65,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069057,,other,Other Loan,951xx,CA,7.06,0,19910501T000000,2,,,14,0,11997,55.5,29,f,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,20131001T000000,325.74,,20140301T000000,0,,1,0,Charged Off,1,1,4,5,0.4,1,1,1,0,3.90888,20141201T000000,1,1,1
1069759,1304871,1000,1000,1000, 36 months,16.29,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069759,,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,20070901T000000,1,,,11,0,6524,81.5,23,f,0,0,1270.17,1270.17,1000,270.17,0,0,0,20150101T000000,36.32,,20141201T000000,0,,1,0,Fully Paid,1,0,1,3,0.2,1,1,1,1,1.51329,20141201T000000,1,1,1
1065775,1299699,10000,10000,10000, 36 months,15.27,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1065775,,home_improvement,Home,921xx,CA,18.6,0,19981001T000000,2,61,,14,0,24043,70.2,28,f,0,0,12519.3,12519.3,10000,2519.26,0,0,0,20150101T000000,370.46,,20141201T000000,0,,1,0,Fully Paid,1,0,5,4,0.8,1,1,1,0,9.94229,20141201T000000,0,1,1
1069971,1304884,3600,3600,3600, 36 months,6.03,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069971,  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>,major_purchase,Holiday,067xx,CT,10.52,0,19930801T000000,0,,,20,0,22836,16,42,f,0,0,3785.02,3785.02,3600,185.02,0,0,0,20130501T000000,583.45,,20140501T000000,0,,1,0,Fully Paid,1,0,11,6,0.2,1,1,1,0,1.19531,20141201T000000,1,1,1
1062474,1294539,6000,6000,6000, 36 months,11.71,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062474,  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>,medical,Medical,890xx,UT,18.44,2,20031001T000000,0,8,,4,0,0,37.73,14,f,0,0,7164.5,7164.5,6000,1149.5,15,0,0,20150201T000000,16.98,,20150101T000000,0,,1,0,Fully Paid,1,0,2,5,0.6,0,1,1,0,2.83514,20141201T000000,0,1,1
1069742,1304855,9200,9200,9200, 36 months,6.03,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069742,,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0,20010101T000000,0,,,8,0,7314,23.1,28,f,0,0,9459.96,9459.96,9200,259.96,0,0,0,20120701T000000,8061.1,,20120701T000000,0,,1,0,Fully Paid,1,0,7,6,0.2,1,1,1,0,4.34208,20141201T000000,1,1,1
1039153,1269083,21000,21000,21000, 36 months,12.42,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000,Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1039153,  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,19830201T000000,0,,,7,0,32135,90.3,38,f,0,0,14025.4,14025.4,10695,3330.44,0,0,0,20130901T000000,701.73,,20131201T000000,0,,1,0,Charged Off,1,1,11,5,0.8,1,1,1,0,8.01977,20141201T000000,1,1,1
1069710,1304821,10000,10000,10000, 36 months,11.71,330.76,B,B3,Value Air,10+ years,OWN,50000,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069710,"  Borrower added on 12/17/11 > Have a stable job, will be absolutely no problem making monthly payments.  Loan will be used to close high interest credit card accounts on which I've never had a late payment.<br>",credit_card,Credit Card Loan,799xx,TX,11.18,0,19850701T000000,0,,,8,0,10056,82.4,21,f,0,0,11902.6,11902.6,10000,1902.56,0,0,0,20150101T000000,349.21,,20150201T000000,0,,1,0,Fully Paid,1,0,11,5,0.6,1,1,1,0,7.93824,20141201T000000,1,1,1
1069700,1304810,10000,10000,10000, 36 months,11.71,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069700,,debt_consolidation,Debt Consolidation,917xx,CA,16.01,0,20030401T000000,0,,,6,0,17800,91.8,17,f,0,0,11536.3,11536.3,10000,1536.31,0,0,0,20131001T000000,4942.63,,20140301T000000,0,,1,0,Fully Paid,1,0,6,5,0.6,1,1,1,0,7.93824,20141201T000000,1,1,1
1069559,1304634,6000,6000,6000, 36 months,11.71,198.46,B,B3,bmg-educational,1 year,RENT,76000,Not Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069559,,major_purchase,cash,900xx,CA,2.4,0,20010601T000000,1,,,7,0,5963,29.7,7,f,0,0,2050.14,2050.14,1305.58,475.25,0,269.31,2.57,20121001T000000,198.46,,20130301T000000,0,,1,0,Charged Off,1,1,2,5,0.6,1,1,1,0,3.13358,20141201T000000,1,1,1
1069697,1273773,15000,15000,15000, 36 months,9.91,483.38,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000,Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069697,,credit_card,No more credit card debt!,605xx,IL,29.44,0,20020201T000000,0,,,8,0,13707,93.9,31,f,0,0,15823.5,15823.5,15000,823.48,0,0,0,20120901T000000,2447.05,,20120901T000000,0,,1,0,Fully Paid,1,0,3,5,0.2,1,1,1,0,6.30496,20141201T000000,1,1,1
1069800,1304679,15000,15000,8725, 36 months,14.27,514.64,C,C2,nyc transit,9 years,RENT,60000,Not Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069800,  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>,debt_consolidation,consolidation,103xx,NY,15.22,0,20031001T000000,1,,,7,0,5872,57.6,11,f,0,0,0,0,0,0,0,0,0,,0,,20120501T000000,0,,1,0,Charged Off,1,1,10,4,0.4,1,1,1,0,10.2928,20141201T000000,1,1,1
1069657,1304764,5000,5000,5000, 60 months,16.77,123.65,D,D2,Frito Lay,2 years,RENT,50004,Not Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069657,  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>,other,Other,150xx,PA,13.97,3,20031001T000000,0,20,,14,0,4345,59.5,22,f,0,0,1609.12,1609.12,629.05,719.11,0,260.96,2.3,20121201T000000,123.65,,20130501T000000,0,,1,0,Charged Off,1,1,3,3,0.4,0,1,1,0,2.96736,20161201T000000,0,1,1
1069799,1304678,4000,4000,4000, 36 months,11.71,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069799,,debt_consolidation,Debt Consolidation,326xx,FL,5.63,1,19840801T000000,0,18,,12,0,6110,37.7,44,f,0,0,4484.79,4484.79,4000,484.79,0,0,0,20130401T000000,2638.77,,20141001T000000,0,,1,0,Fully Paid,1,0,11,5,0.6,0,1,1,0,1.49785,20141201T000000,0,1,1
1047704,1278806,8500,8500,8500, 36 months,11.71,281.15,B,B3,Oakridge homes,< 1 year,RENT,25000,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1047704,  Borrower added on 12/15/11 > My loan is for paying off my credit cards and being able to get a place to live since I live with my uncle at the moment and he needs me to leave. <br><br>  Borrower added on 12/17/11 > Im responsible and i pay my bills on time if not early. i have a great payment history. having this loan would really help me out. thank you<br>,credit_card,Credit card repayment loan,564xx,MN,12.19,0,20061101T000000,0,,,8,0,6441,59.1,12,f,0,0,10122.2,10122.2,8500,1622.21,0,0,0,20141201T000000,581.59,,20150101T000000,0,,1,0,Fully Paid,1,0,1,5,0.6,1,1,1,1,13.4952,20141201T000000,1,1,1
1032111,1261745,4375,4375,1, 36 months,7.51,136.11,A,A3,,7 years,MORTGAGE,17108,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1032111,  Borrower added on 12/17/11 > This loan is a great opportunity and will help me gain better control over my finances. The convenience of one payment and one rate will help me save money and create better opportunities for myself for future planning. My career and income are secure and I believe in financial responsibility.<br>,debt_consolidation,Debt Consolidation,141xx,NY,20.34,0,19871201T000000,0,,,6,0,11210,86.9,12,f,0,0,4898.54,4898.54,4375,523.54,0,0,0,20150101T000000,144.94,,20141201T000000,0,,1,0,Fully Paid,1,0,8,6,0.6,1,1,1,0,9.54711,20141201T000000,1,1,1
1069539,1304608,31825,31825,31825, 36 months,7.9,995.82,A,A4,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000,Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069539,"  Borrower added on 12/15/11 > Hello<br>I plan to use my funds to pay off my credit cards 100%.  <br>I pay more in minimum payments now than my loan payment will be and you can see by my credit report that I always repay my debts.<br>I have a very secure job in property management.  I have been with the company for close to 6 years.<br><br> Borrower added on 12/16/11 > In addition to the other info provided I would like to add that a majority of our credit card debt was from overruns when we added an addition to our home.  Unfortunately to finish the job we needed to use credit cards as our home equity line was cut during after the real estate bubble burst.<br><br>  Borrower added on 12/17/11 > One more note regarding my credit card payments.  Currently I have close to $2000.00 dollars a month budgeted.  The less than $1,000.00 loan payment monthly will allow me to save a generous portion of my monthly budget, something I am looking forward to greatly.<br>",debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.03,0,19811101T000000,0,,,12,0,23151,27.4,26,f,0,0,34886.1,34886.1,31825,3061.08,0,0,0,20130801T000000,16966.7,,20150201T000000,0,,1,0,Fully Paid,1,0,6,6,0.8,1,1,1,0,15.9331,20141201T000000,1,1,1
1069591,1304289,5000,5000,5000, 36 months,8.9,158.77,A,A5,Good Samaritan Society,2 years,RENT,24044,Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069591,  Borrower added on 12/16/11 > The purpose of this loan is to pay off a couple of high interest credicards and holidays expenses so I can start the new year having only one creditor. Thank you for making this possible.Merry Christmas e a Prosperous New Year to all. Thank you<br>,debt_consolidation,Consolidation,974xx,OR,11.93,0,20050401T000000,0,45,,8,0,2224,29.3,16,f,0,0,5714.59,5714.59,5000,714.59,0,0,0,20150101T000000,163.64,,20141201T000000,0,,1,0,Fully Paid,1,0,3,6,1,1,1,1,0,7.92397,20141201T000000,0,1,1
1069530,1291365,7000,7000,7000, 36 months,15.96,245.97,C,C5,GREG BARRETT DRYWALL,7 years,RENT,34000,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069530,,credit_card,Credit Card Loan,934xx,CA,6.35,0,20071001T000000,1,,,6,0,6113,60.5,6,f,0,0,8848.94,8848.94,7000,1848.94,0,0,0,20150101T000000,260.74,,20141201T000000,0,,1,0,Fully Paid,1,0,8,4,1,1,1,1,0,8.68129,20141201T000000,1,1,1
1069522,1304589,12400,12400,12400, 36 months,10.65,403.91,B,B2,Sharp Lawn Inc.,10+ years,RENT,41000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069522,  Borrower added on 12/16/11 > I plan to use the funding from this loan to pay off my credit cards in order to obtain lower interest rates and to have only one payment per month. I will be saving around $80 per month on interest including loan fees. I plan on using extra money to start an IRA. Worked at same business for 10 years<br>,credit_card,December 2011 Credit Card Loan,405xx,KY,11.8,0,20050701T000000,2,,,9,0,11095,57.2,12,f,0,0,14537.5,14537.5,12400,2137.46,0,0,0,20150101T000000,417.61,,20141201T000000,0,,1,0,Fully Paid,1,0,11,5,0.4,1,1,1,0,11.8218,20141201T000000,1,1,1
1069361,1304255,10800,10800,10800, 36 months,9.91,348.03,B,B1,Department of Justice,2 years,RENT,55596,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069361,"  Borrower added on 12/19/11 > I have a very stable job &amp; am moving to get a better position. Thanks for your help!<br><br>  Borrower added on 12/22/11 > Almost there, am ready to take care of business, Merry Christmas! ^_^<br>",moving,Moving to better job; help a veteran!,946xx,CA,5.5,0,20001201T000000,0,,,7,0,2535,13.3,18,f,0,0,12157.2,12157.2,10800,1357.2,0,0,0,20131101T000000,3483.79,,20140701T000000,0,,1,0,Fully Paid,1,0,3,5,0.2,1,1,1,0,7.51198,20141201T000000,1,1,1
1069357,1304251,15000,15000,15000, 36 months,7.9,469.36,A,A4,Gateway Hospice,1 year,RENT,45000,Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069357,  Borrower added on 12/15/11 > I am looking to pay off all my credit cards and have one lump sum to pay each month.  I graduated with my masters 2 years ago.  It took me a year to find a good job and I have been with them for a year now.  The next thing for me to fix in my life is my credit situation.  If I can pay one lump sum I will be saving money each month.  I would really appreciate the consideration of being approved.<br>,debt_consolidation,Debt Consolidation Loan,445xx,OH,8.48,0,20041101T000000,0,,,7,0,6704,50.4,27,f,0,0,16662.6,16662.6,15000,1662.6,0,0,0,20140101T000000,5872.8,,20150201T000000,0,,1,0,Fully Paid,1,0,2,6,0.8,1,1,1,0,12.5163,20141201T000000,1,1,1
1069356,1304250,6000,6000,6000, 36 months,12.42,200.5,B,B4,Cox Communications,1 year,RENT,36852,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069356,"  Borrower added on 12/15/11 > This loan will be used to clear out my current credit cards to $0 balances and close them.  I have really high interest rates on them and chasing multiple minimum payments around is not working out so well.<br><br> Borrower added on 12/15/11 > I currently pay about $480 per month in minimums and have the lower interest rate is going to lower the payments so much, that i will actualy be paying this loan off in about half the time as ihave already learned to live with the 480 per month. <br><br>  Borrower added on 12/16/11 > For te consolidation of credit cards and to clear all revolving debt.<br>",debt_consolidation,Credit Card Consolidation,850xx,AZ,10.62,0,20070401T000000,1,,,7,0,7310,66.5,12,f,0,0,7125.28,7125.28,6000,1125.28,0,0,0,20140401T000000,1923.53,,20150101T000000,0,,1,0,Fully Paid,1,0,2,5,0.8,1,1,1,0,6.52882,20141201T000000,1,1,1
1067573,1301955,9600,9600,9600, 36 months,7.51,298.67,A,A3,Nucor Building Systems,4 years,RENT,68004,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1067573,  Borrower added on 12/15/11 > Funds will be used for an upcoming wedding.<br>I have a very stable job and will have no problems paying back the funds.<br>,other,Other Loan,292xx,SC,6.63,0,20030101T000000,0,,,6,0,2896,18.1,11,f,0,0,10749.8,10749.8,9600,1149.76,0,0,0,20150101T000000,311.56,,20141201T000000,0,,1,0,Fully Paid,1,0,5,6,0.6,1,1,1,0,5.27034,20141201T000000,1,1,1
1069506,1304567,12000,12000,12000, 36 months,7.9,375.49,A,A4,John Wiley Jr.,10+ years,RENT,62300,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069506,  Borrower added on 12/15/11 > To be used to payoff high interest loans.<br>,debt_consolidation,Debt Consolidation,088xx,NJ,16.7,0,19940301T000000,0,38,,15,0,8601,21,25,f,0,0,13516.4,13516.4,12000,1516.38,0,0,0,20150101T000000,380.98,,20150201T000000,0,,1,0,Fully Paid,1,0,11,6,0.8,1,1,1,0,7.23255,20141201T000000,0,1,1
1069314,1304202,3000,3000,3000, 36 months,18.25,108.84,D,D5,,9 years,MORTGAGE,65000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069314,"  Borrower added on 12/15/11 > Combination of things, including a higher-then expected school tax bill, short term year-end cashflow pinch. <br><br>I intend to pay this off ASAP, once one of my client projects wraps up. <br><br>My business is increasing steadily - recovering nicely from the credit crunch, which affected many of my clientele in 2009 &amp; 2010.<br><br>PS:  I've never been late with a payment. Ever. ;-)<br><br>Thank you ... and happy holidays!<br>",other,Year End Cleanup,180xx,PA,17.39,0,19980901T000000,0,,,8,0,43936,98.1,22,f,0,0,3915.03,3915.03,3000,915.03,0,0,0,20150101T000000,115.38,,20141201T000000,0,,1,0,Fully Paid,1,0,10,3,1,1,1,1,0,2.00935,20141201T000000,1,1,1
1060578,1292332,4400,4400,4400, 36 months,16.77,156.37,D,D2,citizens bank,10+ years,RENT,55000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1060578,,debt_consolidation,debt,029xx,RI,20.01,0,20040601T000000,0,,,7,0,25237,99,11,f,0,0,5626.89,5626.89,4400,1226.89,0,0,0,20150101T000000,162.44,,20150201T000000,0,,1,0,Fully Paid,1,0,11,3,0.4,1,1,1,0,3.41171,20141201T000000,1,1,1
